source,sourceLabel,target,targetLabel,relationshipType
http://www.wikidata.org/entity/Q743521,Scarborough,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q12887,Schaarbeek,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2392360,Scheldewindeke,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q911968,Schelle,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q263177,Schilde,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q1961936,Schinveld,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q2568071,Schore,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2755150,Schuiferskapelle,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q194037,Seraing,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q14331462,Seraphijn Dequidt,http://www.wikidata.org/entity/Q12994,Brugge,Werklocatie
http://www.wikidata.org/entity/Q14331462,Seraphijn Dequidt,http://www.wikidata.org/entity/Q674954,De Panne,Sterfteplaats
http://www.wikidata.org/entity/Q14331462,Seraphijn Dequidt,http://www.wikidata.org/entity/Q674954,De Panne,Werklocatie
http://www.wikidata.org/entity/Q14331462,Seraphijn Dequidt,http://www.wikidata.org/entity/Q2398408,Oeren,Geboorteplaats
http://www.wikidata.org/entity/Q14331462,Seraphijn Dequidt,http://www.wikidata.org/entity/Q506707,Veurne,Werklocatie
http://www.wikidata.org/entity/Q1287283,Serskamp,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q56036025,Servaas Domien Daems,http://www.wikidata.org/entity/Q2346321,Noorderwijk,Geboorteplaats
http://www.wikidata.org/entity/Q56036025,Servaas Domien Daems,http://www.wikidata.org/entity/Q2248548,Tongerlo,Sterfteplaats
http://www.wikidata.org/entity/Q56036025,Servaas Domien Daems,http://www.wikidata.org/entity/Q2248548,Tongerlo,Werklocatie
http://www.wikidata.org/entity/Q8717,Sevilla,http://www.wikidata.org/entity/Q29,Spanje,In Land
http://www.wikidata.org/entity/Q8686,Shanghai,http://www.wikidata.org/entity/Q148,Volksrepubliek China,In Land
http://www.wikidata.org/entity/Q201970,Shrewsbury,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q54672,Siderno,http://www.wikidata.org/entity/Q38,Italië,In Land
http://www.wikidata.org/entity/Q116522102,Sidonie Mahieu,http://www.wikidata.org/entity/Q332310,Belle,Werklocatie
http://www.wikidata.org/entity/Q116522102,Sidonie Mahieu,http://www.wikidata.org/entity/Q45797,Duinkerke,Geboorteplaats
http://www.wikidata.org/entity/Q116522102,Sidonie Mahieu,http://www.wikidata.org/entity/Q648,Rijsel,Werklocatie
http://www.wikidata.org/entity/Q116522102,Sidonie Mahieu,http://www.wikidata.org/entity/Q1068891,Saint-Venant,Sterfteplaats
http://www.wikidata.org/entity/Q116522102,Sidonie Mahieu,http://www.wikidata.org/entity/Q1068891,Saint-Venant,Werklocatie
http://www.wikidata.org/entity/Q3110841,Sijsele,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q3475052,Sinaai,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q667610,Singleton,http://www.wikidata.org/entity/Q408,Australië,In Land
http://www.wikidata.org/entity/Q2798071,Sinoutskerke,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q2616736,Sint Anna ter Muiden,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q2856296,Sint Kruis,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q21764799,Sint-Amands,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2936941,Sint-Amandsberg,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2676933,Sint-Andries,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q3472219,Sint-Baafs-Vijve,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2354846,Sint-Denijs,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2538413,Sint-Denijs-Westrem,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2320749,Sint-Eloois-Vijve,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2314032,Sint-Eloois-Winkel,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q898394,Sint-Gillis-bij-Dendermonde,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q272243,Sint-Joost-ten-Node,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q3181971,Sint-Joris,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2997099,Sint-Joris-Weert,http://www.wikidata.org/entity/Q31,België,In Land
