source,target,Type,Weight,relationshipType
Q10686,Q145,Undirected,1,In Land
Q332310,Q142,Undirected,1,In Land
Q2346906,Q31,Undirected,1,In Land
Q79980,Q668,Undirected,1,In Land
Q708708,Q183,Undirected,1,In Land
Q115826830,Q499532,Undirected,1,Werklocatie
Q115826830,Q2134798,Undirected,1,Geboorteplaats
Q115826830,Q724573,Undirected,1,Sterfteplaats
Q115826830,Q724573,Undirected,1,Werklocatie
Q115826830,Q823623,Undirected,1,Werklocatie
Q818804,Q31,Undirected,1,In Land
Q2896939,Q31,Undirected,1,In Land
Q334301,Q142,Undirected,1,In Land
Q49345973,Q142,Undirected,1,In Land
Q83407,Q31,Undirected,1,In Land
Q242407,Q31,Undirected,1,In Land
Q793584,Q31,Undirected,1,In Land
Q64,Q183,Undirected,1,In Land
Q822307,Q189,Undirected,1,Werklocatie
Q822307,Q62132,Undirected,1,Werklocatie
Q822307,Q1123846,Undirected,1,Geboorteplaats
Q822307,Q661710,Undirected,1,Sterfteplaats
Q822307,Q20,Undirected,1,Werklocatie
Q122884053,Q408,Undirected,1,Woonplaats
Q122884053,Q408,Undirected,1,Sterfteplaats
Q122884053,Q408,Undirected,1,Werklocatie
Q122884053,Q12994,Undirected,1,Woonplaats
Q122884053,Q12994,Undirected,1,Geboorteplaats
Q122884053,Q84,Undirected,1,Woonplaats
Q122884053,Q84,Undirected,1,Werklocatie
Q122884053,Q664,Undirected,1,Woonplaats
Q122884053,Q664,Undirected,1,Werklocatie
Q115812384,Q12994,Undirected,1,Geboorteplaats
Q115812384,Q215244,Undirected,1,Werklocatie
Q115812384,Q2731701,Undirected,1,Werklocatie
Q115812384,Q499588,Undirected,1,Werklocatie
Q115812384,Q2396419,Undirected,1,Werklocatie
Q115812384,Q2107664,Undirected,1,Werklocatie
Q115812384,Q2107664,Undirected,1,Sterfteplaats
Q122818902,Q12994,Undirected,1,Woonplaats
Q122818902,Q208713,Undirected,1,Woonplaats
Q122818902,Q1296,Undirected,1,Woonplaats
Q122818902,Q2340735,Undirected,1,Woonplaats
Q122818902,Q2742,Undirected,1,Geboorteplaats
Q1988823,Q31,Undirected,1,In Land
Q2636574,Q31,Undirected,1,In Land
Q2289081,Q31,Undirected,1,In Land
Q270644,Q31,Undirected,1,In Land
Q2480040,Q31,Undirected,1,In Land
Q851718,Q145,Undirected,1,In Land
Q2371714,Q31,Undirected,1,In Land
Q2412352,Q55,Undirected,1,In Land
Q2256,Q145,Undirected,1,In Land
